waveform	[0]	[1]	[2]
t0	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400
delta t	4.980000E-5	4.980000E-5	4.980000E-5

time	Y[0]	Y[1]	Y[2]
2023-02-25  12:35:45.050235	4.514160E+1	1.220703E-2	5.303955E+1
2023-02-25  12:35:45.050285	4.505005E+1	9.155273E-2	5.289307E+1
2023-02-25  12:35:45.050334	4.508667E+1	7.934570E-2	5.308838E+1
2023-02-25  12:35:45.050384	4.512939E+1	9.155273E-2	5.292969E+1
2023-02-25  12:35:45.050434	4.500122E+1	8.544922E-2	5.300903E+1
2023-02-25  12:35:45.050484	4.527588E+1	3.662109E-2	5.302734E+1
2023-02-25  12:35:45.050534	4.514771E+1	8.544922E-2	5.303955E+1
2023-02-25  12:35:45.050583	4.505005E+1	3.051758E-2	5.311890E+1
2023-02-25  12:35:45.050633	4.514160E+1	2.441406E-2	5.295410E+1
2023-02-25  12:35:45.050683	4.503784E+1	6.103516E-2	5.296631E+1
2023-02-25  12:35:45.050733	4.500732E+1	6.103516E-2	5.305786E+1
2023-02-25  12:35:45.050783	4.506836E+1	4.882812E-2	5.288696E+1
2023-02-25  12:35:45.050832	4.529419E+1	7.324219E-2	5.313110E+1
2023-02-25  12:35:45.050882	4.505005E+1	6.103516E-2	5.292358E+1
2023-02-25  12:35:45.050932	4.510498E+1	8.544922E-2	5.306396E+1
2023-02-25  12:35:45.050982	4.519043E+1	8.544922E-2	5.318604E+1
2023-02-25  12:35:45.051032	4.511108E+1	6.713867E-2	5.291138E+1
2023-02-25  12:35:45.051081	4.508057E+1	6.713867E-2	5.297241E+1
2023-02-25  12:35:45.051131	4.501343E+1	3.051758E-2	5.296021E+1
2023-02-25  12:35:45.051181	4.524536E+1	7.934570E-2	5.302124E+1
2023-02-25  12:35:45.051231	4.523315E+1	6.713867E-2	5.296021E+1
2023-02-25  12:35:45.051281	4.515991E+1	3.051758E-2	5.300903E+1
2023-02-25  12:35:45.051330	4.497681E+1	3.662109E-2	5.313110E+1
2023-02-25  12:35:45.051380	4.503784E+1	6.713867E-2	5.297852E+1
2023-02-25  12:35:45.051430	4.508057E+1	1.037598E-1	5.294800E+1
2023-02-25  12:35:45.051480	4.513550E+1	9.765625E-2	5.299683E+1
2023-02-25  12:35:45.051530	4.499512E+1	6.103516E-2	5.311279E+1
2023-02-25  12:35:45.051579	4.523315E+1	6.103516E-2	5.300293E+1
